imdb_title_id,title,year,genre,country,budget,worlwide_gross_income,production_company
tt1183672,La fille du RER,2009,Drama,France,9000000,3035402,Union Générale Cinématographique (UGC)
tt1183917,Teen Patti,2010,"Crime, Drama, Thriller",India,250000000,17311,Hinduja Ventures
tt1185242,Hollywood - Un sogno a luci rosse,2009,"Comedy, Romance",USA,1500000,6783,Cinamour Entertainment
tt1185344,Princess Ka'iulani,2009,Drama,"USA, UK",9000000,883887,Matador Pictures
tt1185376,Map of the Sounds of Tokyo,2009,"Drama, Thriller",Spain,8000000,3159683,Mediapro
tt1185416,La fontana dell'amore,2010,"Comedy, Romance",USA,55000000,43053376,Touchstone Pictures
tt1185420,Appartamento per... 3,2008,"Comedy, Drama, Romance","India, USA",5000000,17779520,Black Dog Jib Productions
tt1185442,Kurbaan,2009,"Action, Crime, Drama",India,11000000,1461611,Dharma Productions
tt1185834,Star Wars: The Clone Wars,2008,"Animation, Action, Adventure",USA,8500000,68282844,Lucasfilm Animation
tt1186025,Noora Contro Tutti,2008,Family,Norway,20000000,1840042,Nordisk Film
tt1186367,Ninja Assassin,2009,"Action, Thriller","Germany, USA, France",40000000,61601280,Warner Bros.
tt1186371,Fung wan II,2009,"Action, Adventure, Fantasy",Hong Kong,22000000,5668356,Chengtian Entertainment
tt1186830,Agora,2009,"Adventure, Biography, Drama","Spain, Malta, Bulgaria",70000000,39457342,Mod Producciones
tt1187043,3 Idiots,2009,"Comedy, Drama",India,550000000,60262836,Vinod Chopra Productions
tt1187044,Affetti & dispetti (La nana),2009,"Comedy, Drama","Chile, Mexico",430000,1705609,Forastero
tt1187064,Triangle,2009,"Fantasy, Mystery, Thriller","UK, Australia",12000000,1333377,Icon Entertainment International
tt1188729,Pandorum - L'universo parallelo,2009,"Action, Horror, Mystery","Germany, UK, USA",33000000,20648328,Constantin Film
tt1188982,Jai Ho,2014,"Action, Drama",India,750000000,2122804,Eros International
tt1188988,Ex,2009,"Comedy, Romance","Italy, France",10000000,16843486,Italian International Film
tt1188992,The House of Branching Love - La Casa degli amori stabili,2009,"Comedy, Drama",Finland,1370398,1846748,Mainostelevisio (MTV3)
tt1188993,In 3 Tagen bist du tot 2,2008,"Horror, Thriller",Austria,2000000,779680,Allegro Film
tt1188995,Väärät juuret,2009,Drama,Finland,1240000,52943,Edith Film Oy
tt1188996,Il mio nome è Khan,2010,Drama,"India, USA, United Arab Emirates",12000000,42345360,Dharma Productions
tt1189003,Putoavia enkeleitä,2008,"Biography, Drama",Finland,1250000,334988,Blind Spot Pictures Oy
tt1189073,La pelle che abito,2011,"Drama, Horror, Thriller",Spain,10000000,33678406,Blue Haze Entertainment
tt1189340,The Lincoln Lawyer,2011,"Crime, Drama, Thriller",USA,40000000,86752352,Lionsgate
tt1189383,Maskeli Besler: Kibris,2008,Comedy,Turkey,4500000,7006849,Arzu Film
tt1189893,Ilya Muromets i Solovey Razboynik,2007,"Animation, Adventure, Family",Russia,2000000,10490651,Melnitsa Animation Studio
tt1190072,The Hunter,2010,"Drama, Thriller","Iran, Germany",1500000,28608,Aftab Negaran Productions
tt1190080,2012,2009,"Action, Adventure, Sci-Fi",USA,200000000,791217826,Columbia Pictures
tt1190536,Black Dynamite,2009,"Action, Comedy",USA,2900000,296557,Destination Films
tt1190537,Bloodline,2008,Mystery,USA,1500000,68462,1244 Films
tt1190539,The Chaser,2008,"Action, Crime, Thriller",South Korea,2650000,36495748,Big House
tt1190617,An American Carol,2008,"Comedy, Fantasy",USA,20000000,7013191,Mpower American Carol Holding
tt11908062,Zima,2020,Drama,Russia,1000000,9984,Look Film
tt1191111,Enter the Void,2009,"Drama, Fantasy","France, Germany, Italy, Canada, Japan",16000000,775385,Fidélité Films
tt1191138,Un pizzico d'amore e di magia,2008,"Comedy, Drama, Family",India,200000000,7631012,Kunal Kohli Productions
tt1191971,Apocalypse of the Dead,2009,"Action, Horror, Sci-Fi","Serbia, Italy, Spain",1000000,31401,Talking Wolf Productions
tt1192628,Rango,2011,"Animation, Adventure, Comedy",USA,135000000,245724603,Paramount Pictures
tt1193088,Le code a changé,2009,"Comedy, Drama",France,12000000,15016366,Thelma Films
tt1193138,Tra le nuvole,2009,"Comedy, Drama, Romance",USA,25000000,166842739,Paramount Pictures
tt1193507,My Own Love Song,2010,"Comedy, Drama","France, USA",16000000,300849,Légende Films
tt1193516,Recep Ivedik,2008,Comedy,Turkey,500000,28548025,Aksoy Film
tt1193631,Step Up 3D,2010,"Drama, Music, Romance",USA,30000000,159291809,Summit Entertainment
tt1194173,The Bourne Legacy,2012,"Action, Adventure, Thriller","USA, Japan",125000000,276144750,Universal Pictures
tt1194231,Il grande sogno,2009,Drama,"Italy, France",10000000,4731185,Taodue Film
tt1194235,Das Fremde in mir,2008,Drama,Germany,500000,84544,NiKo Film
tt1194263,Get Low,2009,"Drama, Mystery","USA, Germany, Poland",7000000,10522511,K5 International
tt1194417,Il gioco dei soldi,2010,"Biography, Comedy, Crime",Canada,12500000,1230933,An Olive Branch Productions
tt1194618,Muumi ja vaarallinen juhannus,2008,"Animation, Family, Fantasy","Finland, Austria, Poland",3500000,626733,Oy Filmkompaniet Alpha Ab
tt1194620,Nunta muta,2008,"Comedy, Drama, History","Romania, Luxembourg, France",1500000,553018,Castel Film Studio
tt1195478,5 anni di fidanzamento,2012,"Comedy, Romance","USA, Japan",30000000,54169363,Universal Pictures
tt1196141,Diario di una schiappa,2010,"Comedy, Drama, Family","USA, UK",15000000,76196538,Color Force
tt1196329,La guerre des miss,2008,Comedy,France,12000000,1746131,Gaumont
tt1196340,Una tragica scelta,2010,"Drama, Thriller",USA,10000000,80112,26 Films
tt1197624,Giustizia privata,2009,"Action, Crime, Drama",USA,50000000,127944208,G-BASE
tt1197628,Observe and Report,2009,"Comedy, Crime, Drama",USA,18000000,26973554,De Line Pictures
tt1198101,Kites,2010,"Action, Drama, Romance",India,600000000,2986748,Bollywood Hollywood Production
tt1198138,Obsessed - Passione fatale,2009,"Drama, Romance, Thriller",USA,20000000,73830347,Screen Gems
tt1198153,Vendetta assassina,2009,"Action, Drama, Thriller","Israel, France, USA",3000000,1948,Bleiberg Entertainment
tt1198339,Detsembrikuumus,2008,"Action, Drama, History",Estonia,24000000,260220,Ruut
tt1199779,Black to the Moon 3D,2013,"Animation, Adventure, Comedy","Spain, Italy, France",15000000,175802,Baleuko S.L.
tt1200272,La Mission,2009,Drama,USA,3000000,1062941,5 Stick Films
tt1201167,Funny People,2009,"Comedy, Drama",USA,75000000,71585235,Universal Pictures
tt1201607,Harry Potter e i Doni della Morte - Parte 2,2011,"Adventure, Drama, Fantasy","UK, USA",125000000,1342166497,Warner Bros.
tt1202222,Lies and Illusions - Intrighi e bugie,2009,"Action, Thriller",USA,4500000,156510,Grand Army Entertainment
tt1202517,Barah Aana,2009,"Comedy, Crime, Drama",India,40000000,962395,Bandra West Pictures
tt1202532,Platon,2008,Drama,Russia,2500000,5600325,Jackal Productions
tt1204342,I Muppet,2011,"Adventure, Comedy, Family",USA,45000000,165184237,Walt Disney Pictures
tt1204975,Last Vegas,2013,"Comedy, Drama",USA,28000000,134409025,CBS Films
tt1204977,Ouija,2014,"Horror, Mystery, Thriller",USA,5000000,103687316,Universal Pictures
tt1205489,Gran Torino,2008,Drama,"Germany, USA",33000000,269958228,Matten Productions
tt1205537,Jack Ryan - L'iniziazione,2014,"Action, Drama, Thriller","USA, Russia",60000000,135503748,Paramount Pictures
tt1206086,Rain Fall,2009,"Action, Crime, Drama","Japan, USA",7000000,1348221,Rain Fall
tt1206478,Le crime est notre affaire,2008,"Comedy, Crime, Mystery",France,12000000,9866501,Les Films Français
tt1206483,Labios rojos,2011,Comedy,Mexico,2000000,1889869,Cyclus
tt1206541,Il delfino,2009,"Animation, Adventure, Family","Germany, Italy, Peru",3000000,4127246,Dolphin-Films
tt1206543,Il fuoco della vendetta - Out of the Furnace,2013,"Action, Crime, Drama","UK, USA",22000000,15661554,Appian Way
tt1206885,Rambo: Last Blood,2019,"Action, Thriller","USA, Hong Kong, France, Bulgaria, Spain, Sweden",50000000,91490353,Lionsgate
